"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ad_type","amount_data","architecture","backbone_name","batch_size","centering","conv3x3_only","data_class","dataclass","dataset","dataset_name","decoder","encoder","encoder_type","epochs","flow_step","flow_steps","flow_type","fp_thres","hidden_ratio","img_size","input_size","learning_rate","num_gaussians","patience","weight_decay","block_index","epoch","image_auroc_score","image_prauc_score","mdn_loss","mdn_train_loss","mdn_valid_loss","mse_loss","nf_loss","pixel_auroc_score","pro_score_0.2fp","pro_score_0.3fp","roc_auc_score","ssim_loss","stage","train_loss","valid_loss"
"10","finished","-","almi1012","","2023-05-08T09:05:51.000Z","7475","","mdn","313","10_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_hazelnut","","8","false","","","hazelnut","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","10","30","0.0001","","488","0.6403571428571428","","-4.645027070761489","","","","","0.9485987224783556","","0.943167738954197","","","eval","","-4.461554331657214"
"50","finished","-","almi1012","","2023-05-08T11:10:31.000Z","8973","","mdn","313","50_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_hazelnut","","8","false","","","hazelnut","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","50","30","0.0001","","499","0.7446428571428572","","-4.587647393869516","","","","","0.9483929068653744","","0.9436727674698906","","","eval","","-4.404413907955854"
"100","finished","-","almi1012","","2023-05-08T13:37:07.000Z","8799","","mdn","313","[""100_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_hazelnut"",""EncoderDeit_GaussianMixtureDensityNetwork""]","","8","false","","","hazelnut","[""mvtec_anomaly_detection"",""mvtec""]","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","100","30","0.0001","","392","0.6880357142857142","0.6771721175402838","-4.6165659450494445","","","","","0.961245542107666","","0.9569944429669026","","","eval","","-4.446921739822779"
"110","finished","-","almi1012","","2023-05-08T16:03:54.000Z","8736","","mdn","313","110_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_hazelnut","","8","false","","","hazelnut","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","110","30","0.0001","","387","0.6957142857142857","","-4.577483430076331","","","","","0.9541340032856022","","0.9497966740752156","","","eval","","-4.428047131269406"
"130","finished","-","almi1012","","2023-05-08T18:29:38.000Z","212036","","mdn","313","130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_hazelnut","","4","false","","","hazelnut","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","130","30","0.0001","","330.5","0.8564285714285713","0.9158686947240912","-4.418508535756851","","","","","0.9612450163706824","","0.9566436909091859","","","eval","","-4.357089904638437"
"150","finished","-","almi1012","","2023-05-08T20:57:02.000Z","8661","","mdn","313","150_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_hazelnut","","4","false","","","hazelnut","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","150","30","0.0001","","319","0.8510714285714286","","-4.427972840805785","","","","","0.953414322958642","","0.947982232491174","","","eval","","-4.359198643611028"
"170","finished","-","almi1012","","2023-05-08T23:21:33.000Z","8649","","mdn","313","170_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_hazelnut","","4","false","","","hazelnut","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","170","30","0.0001","","299","0.8471428571428572","","-4.4079481664176186","","","","","0.9624468968626602","","0.9581142320704048","","","eval","","-4.36496027922019"
