"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ad_type","amount_data","architecture","backbone_name","batch_size","centering","conv3x3_only","data_class","dataclass","dataset","dataset_name","decoder","encoder","encoder_type","epochs","flow_step","flow_steps","flow_type","fp_thres","hidden_ratio","img_size","input_size","learning_rate","num_gaussians","patience","weight_decay","block_index","epoch","image_auroc_score","image_prauc_score","mdn_loss","mdn_train_loss","mdn_valid_loss","mse_loss","nf_loss","pixel_auroc_score","pro_score_0.2fp","pro_score_0.3fp","roc_auc_score","ssim_loss","stage","train_loss","valid_loss"
"130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_zipper-2023-05-11_17-48-09","finished","-","almi1012","EncoderDeit, MVTecAD, PRO0.3, mixture density network","2023-05-11T15:48:10.000Z","4423","","mdn","192","130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_zipper","","4","false","","","zipper","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","130","30","0.0001","","362","0.7263655462184874","0.9097757719770154","-4.014058321714401","","","","","0.9257317274186307","","0.921901823859444","","","eval","","-4.0201362768809"
"130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_wood-2023-05-11_16-23-57","finished","-","almi1012","EncoderDeit, MVTecAD, PRO0.3, mixture density network","2023-05-11T14:23:57.000Z","5045","","mdn","198","130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_wood","","4","false","","","wood","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","130","30","0.0001","","299","0.9087719298245616","0.9724390456906614","-3.758519572441024","","","","","0.8724835932383684","","0.8639666281405005","","","eval","","-3.736532225900767"
"130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_transistor-2023-05-11_14-43-18","finished","-","almi1012","EncoderDeit, MVTecAD, PRO0.3, mixture density network","2023-05-11T12:43:18.000Z","6031","","mdn","170","130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_transistor","","4","false","","","transistor","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","130","30","0.0001","","402","0.49125","0.4199575167298959","-4.414527006710277","","","","","0.5775615279621329","","0.5626870071048985","","","eval","","-4.346030656681505"
"130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_toothbrush-2023-05-11_14-37-28","finished","-","almi1012","EncoderDeit, MVTecAD, PRO0.3, mixture density network","2023-05-11T12:37:28.000Z","343","","mdn","48","130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_toothbrush","","4","false","","","toothbrush","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","130","30","0.0001","","70","0.7611111111111112","0.8971357715125658","-0.8678656965494156","","","","","0.8825320940022618","","0.8737539387811918","","","eval","","-0.23635434110959372"
"130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_tile-2023-05-11_13-34-18","finished","-","almi1012","EncoderDeit, MVTecAD, PRO0.3, mixture density network","2023-05-11T11:34:18.000Z","3782","","mdn","184","130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_tile","","4","false","","","tile","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","130","30","0.0001","","276","0.8387445887445887","0.9355719733967358","-3.065586271493331","","","","","0.8343024396246972","","0.8235770849932396","","","eval","","-3.2058347826418667"
"130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_screw-2023-05-11_11-56-26","finished","-","almi1012","EncoderDeit, MVTecAD, PRO0.3, mixture density network","2023-05-11T09:56:26.000Z","5864","","mdn","256","130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_screw","","4","false","","","screw","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","130","30","0.0001","","363","0.4597253535560566","0.7303110437424858","-4.088377971202135","","","","","0.42576746098621593","","0.4235578178236446","","","eval","","-4.131377846002579"
"130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_pill-2023-05-11_10-14-08","finished","-","almi1012","EncoderDeit, MVTecAD, PRO0.3, mixture density network","2023-05-11T08:14:09.000Z","6129","","mdn","214","130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_pill","","4","false","","","pill","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","130","30","0.0001","","390","0.737861429350791","0.922166433593062","-4.718453959883931","","","","","0.9247832716246748","","0.912478121930171","","","eval","","-4.770792925132896"
"130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_metal_nut-2023-05-11_08-50-34","finished","-","almi1012","EncoderDeit, MVTecAD, PRO0.3, mixture density network","2023-05-11T06:50:34.000Z","5007","","mdn","176","130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_metal_nut","","4","false","","","metal_nut","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","130","30","0.0001","","418","0.6344086021505376","0.8436715698466993","-4.682084148580378","","","","","0.812694387272172","","0.7733448502293286","","","eval","","-4.678356690840288"
"130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_leather-2023-05-11_07-23-41","finished","-","almi1012","EncoderDeit, MVTecAD, PRO0.3, mixture density network","2023-05-11T05:23:42.000Z","5204","","mdn","196","130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_leather","","4","false","","","leather","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","130","30","0.0001","","337","0.899116847826087","0.9618903683621698","-3.481056802126826","","","","","0.9782775113586964","","0.9769918341026682","","","eval","","-3.588236833105282"
"130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_hazelnut-2023-05-11_05-07-27","finished","-","almi1012","EncoderDeit, MVTecAD, PRO0.3, mixture density network","2023-05-11T03:07:27.000Z","8167","","mdn","313","130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_hazelnut","","4","false","","","hazelnut","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","130","30","0.0001","","319","0.8514285714285713","0.9158686947240912","-4.420695184518735","","","","","0.9596091564529396","","0.9543668964569488","","","eval","","-4.357969381870368"
"130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_grid-2023-05-11_03-48-33","finished","-","almi1012","EncoderDeit, MVTecAD, PRO0.3, mixture density network","2023-05-11T01:48:34.000Z","4726","","mdn","211","130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_grid","","4","false","","","grid","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","130","30","0.0001","","355","0.6215538847117794","0.7997921288460283","-3.4365093199562686","","","","","0.5525014541221454","","0.5852591342769662","","","eval","","-3.3939542185585454"
"130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_carpet-2023-05-11_02-29-48","finished","-","almi1012","EncoderDeit, MVTecAD, PRO0.3, mixture density network","2023-05-11T00:29:48.000Z","4717","","mdn","224","130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_carpet","","4","false","","","carpet","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","130","30","0.0001","","247","0.8768057784911718","0.9612747818991256","-3.0317122042179108","","","","","0.9504641188801648","","0.9493427807174843","","","eval","","-3.0670460632869174"
"130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_capsule-2023-05-11_00-22-25","finished","-","almi1012","EncoderDeit, MVTecAD, PRO0.3, mixture density network","2023-05-10T22:22:25.000Z","7634","","mdn","175","130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_capsule","","4","false","","","capsule","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","130","30","0.0001","","499","0.6545672118069407","0.8769965380942579","-4.482200516292027","","","","","0.6706588491808829","","0.6486124444552291","","","eval","","-4.541534770618785"
"130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_cable-2023-05-10_22-32-41","finished","-","almi1012","EncoderDeit, MVTecAD, PRO0.3, mixture density network","2023-05-10T20:32:41.000Z","6576","","mdn","179","130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_cable","","4","false","","","cable","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","130","30","0.0001","","423","0.7365067466266867","0.8282071611951874","-4.529405727066807","","","","","0.7944418624322822","","0.7811272704222473","","","eval","","-4.523761590321858"
"130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_bottle-2023-05-10_20-53-30","finished","-","almi1012","EncoderDeit, MVTecAD, PRO0.3, mixture density network","2023-05-10T18:53:30.000Z","5943","","mdn","167","130_EncoderDeit_GaussianMixtureDensityNetwork_mvtec_anomaly_detection_bottle","","4","false","","","bottle","mvtec_anomaly_detection","","GaussianMixtureDensityNetwork","EncoderDeit","transformer_encoder","500","","","","0.3","","224","","0.0001","130","30","0.0001","","499","0.9134920634920636","0.9206636567096208","-3.6489753123528943","","","","","0.9660720076133834","","0.9629231209653288","","","eval","","-3.5712202276502336"
