"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ad_type","amount_data","architecture","backbone_name","batch_size","centering","conv3x3_only","data_class","dataclass","dataset","dataset_name","decoder","encoder","encoder_type","epochs","experiment","fp_thres","img_size","learning_rate","patience","weight_decay","epoch","image_auroc_score","image_prauc_score","mdn_loss","mdn_train_loss","mdn_valid_loss","mse_loss","nf_loss","pro_score_0.3fp","train_loss","valid_loss","pixel_auroc_score"
"Eval-recon_ReverseResNet-on-mvtec_03","finished","-","almi1012","BTAD, DecoderResNet, EncoderResNet, recon","2023-05-13T16:03:06.000Z","163","","","","AutoEncoderResNet_ReverseResNet","","","","","","03","mvtec","","","ResNetEncoder","convolution","","resnet_all_btad","0.3","","","","","","0.6884756097560976","0.21359769220346408","","","","","","0.7567958696465462","","","0.7939618576609565"
"Eval-recon_ReverseResNet-on-mvtec_02","finished","-","almi1012","BTAD, DecoderResNet, EncoderResNet, recon","2023-05-13T16:01:34.000Z","90","","","","AutoEncoderResNet_ReverseResNet","","","","","","02","mvtec","","","ResNetEncoder","convolution","","resnet_all_btad","0.3","","","","","","0.7236666666666668","0.9533644803909586","","","","","","0.6135214652235126","","","0.604847974890961"
"Eval-recon_ReverseResNet-on-mvtec_01","finished","-","almi1012","BTAD, DecoderResNet, EncoderResNet, recon","2023-05-13T16:00:50.000Z","42","","","","AutoEncoderResNet_ReverseResNet","","","","","","01","mvtec","","","ResNetEncoder","convolution","","resnet_all_btad","0.3","","","","","","0.7910592808551993","0.9156982882030252","","","","","","0.6224410827792186","","","0.6882158259605472"
