"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ad_type","amount_data","architecture","backbone_name","batch_size","centering","conv3x3_only","data_class","dataclass","dataset","dataset_name","decoder","encoder","encoder_type","epochs","experiment","fp_thres","img_size","learning_rate","patience","weight_decay","epoch","image_auroc_score","image_prauc_score","mdn_loss","mdn_train_loss","mdn_valid_loss","mse_loss","nf_loss","pro_score_0.3fp","train_loss","valid_loss","pixel_auroc_score"
"AutoEncoderDeit_DecoderVanillaCNN-2023-05-14_19-53-33","finished","-","almi1012","BTAD, DecoderVanilla, EncoderDeit, recon","2023-05-14T17:53:34.000Z","2074","","recon","800","AutoEncoderDeit_DecoderVanillaCNN","","32","false","","","03","btad","","DecoderVanillaCNN","EncoderDeit","transformer","500","","0.3","224","0.0005","30","0.00001","201","0.5","0.546485260770975","","","","","","0.7497706920009837","0.010149039886891842","0.014395542107522488","0.7831555212586996"
"AutoEncoderDeit_DecoderVanillaCNN-2023-05-14_19-04-19","finished","-","almi1012","BTAD, DecoderVanilla, EncoderDeit, recon","2023-05-14T17:04:19.000Z","2950","","recon","319","AutoEncoderDeit_DecoderVanillaCNN","","32","false","","","02","btad","","DecoderVanillaCNN","EncoderDeit","transformer","500","","0.3","224","0.0005","30","0.00001","499","0.5191666666666667","0.9026331096607232","","","","","","0.647983865535698","0.02665253741473987","0.02762835957109928","0.6679250914423931"
"AutoEncoderDeit_DecoderVanillaCNN-2023-05-14_18-01-15","finished","-","almi1012","BTAD, DecoderVanilla, EncoderDeit, recon","2023-05-14T16:01:16.000Z","3778","","recon","320","AutoEncoderDeit_DecoderVanillaCNN","","32","false","","","01","btad","","DecoderVanillaCNN","EncoderDeit","transformer","500","","0.3","224","0.0005","30","0.00001","499","0.5","0.85","","","","","","0.7431929630459189","0.02041691541671753","0.026057326421141624","0.7876159560952971"
