"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ad_type","amount_data","architecture","backbone_name","batch_size","centering","conv3x3_only","data_class","dataclass","dataset","dataset_name","decoder","encoder","encoder_type","epochs","experiment","fp_thres","img_size","learning_rate","patience","weight_decay","epoch","image_auroc_score","image_prauc_score","pixel_auroc_score","pro_score_0.3fp","train_loss","valid_loss"
"AutoEncoderDeit_DecoderResNetVariableEmbeddingSize-2023-05-14_23-58-12","finished","-","almi1012","BTAD, DecoderResNet, EncoderDeit, recon","2023-05-14T21:58:13.000Z","2480","","recon","800","AutoEncoderDeit_DecoderResNetVariableEmbeddingSize","","32","false","","","03","btad","","DecoderResNetVariableEmbeddingSize","EncoderDeit","transformer","500","","0.3","224","0.0005","30","0.00001","200","0.47865853658536583","0.0969426385394264","0.7475818454275412","0.7096051585009184","0.006698304004967213","0.006207457017153501"
"AutoEncoderDeit_DecoderResNetVariableEmbeddingSize-2023-05-14_23-00-11","finished","-","almi1012","BTAD, DecoderResNet, EncoderDeit, recon","2023-05-14T21:00:11.000Z","3476","","recon","319","AutoEncoderDeit_DecoderResNetVariableEmbeddingSize","","32","false","","","02","btad","","DecoderResNetVariableEmbeddingSize","EncoderDeit","transformer","500","","0.3","224","0.0005","30","0.00001","499","0.5913333333333333","0.9139856505827026","0.6777139884381579","0.6543580961211826","0.0015252262629790458","0.0012097842060029506"
"AutoEncoderDeit_DecoderResNetVariableEmbeddingSize-2023-05-14_22-37-35","finished","-","almi1012","BTAD, DecoderResNet, EncoderDeit, recon","2023-05-14T20:37:35.000Z","1352","","recon","320","AutoEncoderDeit_DecoderResNetVariableEmbeddingSize","","32","false","","","01","btad","","DecoderResNetVariableEmbeddingSize","EncoderDeit","transformer","500","","0.3","224","0.0005","30","0.00001","151","0.9037900874635568","0.9605454001953342","0.7419555369325255","0.6838902210269553","0.03465941362082958","0.03339468725025654"
