"Name","State","Tags","Created","Runtime","Sweep","ad_type","amount_data","architecture","backbone_name","batch_size","dataclass","dataset","dataset_name","decoder","encoder","encoder_type","epochs","experiment","flow_steps","hidden_ratio","img_size","learning_rate","weight_decay","block_index","epoch","fp_thres","image_auroc_score","image_prauc_score","pixel_auroc_score","pro_score_0.3fp","nf_loss","valid_loss"
"""03""","finished","","2023-05-06T22:47:50.000Z","588590","","nf","800","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","03","btad","","NormalizingFlow","EncoderDeit","transformer_encoder","500","","20","0.16","224","0.001","0.00001","0","420","0.3","0.9964634146341464","0.968482125343964","0.9572498925472501","0.9567747441963866","-157546.76124999998","-146806.43375000003"
"""02""","finished","","2023-05-06T22:28:22.000Z","581442","","nf","319","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","02","btad","","NormalizingFlow","EncoderDeit","transformer_encoder","500","","20","0.16","224","0.001","0.00001","0","201","0.3","0.7935833333333333","0.9659630712571424","0.8785492122446831","0.8757523788267204","-100365.03971150078","-80137.2265625"
"""01""","finished","","2023-05-06T21:34:00.000Z","579137","","nf","320","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","01","btad","","NormalizingFlow","EncoderDeit","transformer_encoder","500","","20","0.16","224","0.001","0.00001","0","352.5","0.3","0.999028182701652","0.9995876718034152","0.8454732403364438","0.8058690123899013","-271242.684375","-253512.5953125"
